国環研局番,測定局名,緯度,経度
8201030,水戸石川,36.39222222222222,140.42583333333332
8201040,水戸東部,36.31972222222223,140.49944444444444
8201510,水戸大工町,36.380833333333335,140.45805555555555
8202020,日立市役所,36.59972222222223,140.6513888888889
8202050,日立多賀,36.55722222222222,140.62555555555556
8202200,日立南部,36.49527777777778,140.5825
8203010,土浦保健所,36.07111111111112,140.19083333333333
8203520,土浦中村南,36.04166666666666,140.1652777777778
8205020,石岡杉並,36.20222222222223,140.28527777777776
8206010,筑西保健所,36.30972222222222,139.97611111111112
8210010,下妻,36.18444444444444,139.95999999999998
8211010,常総,36.03416666666666,139.99138888888888
8212010,常陸太田,36.52472222222222,140.51638888888888
8213010,常陸那珂勝田,36.39611111111111,140.53416666666666
8215010,北茨城中郷,36.78111111111111,140.7336111111111
8216010,笠間,36.38583333333333,140.2386111111111
8217010,取手市役所,35.91166666666666,140.04944444444445
8220010,つくば高野,36.10472222222222,140.02027777777778
8221010,ひたちなか,36.38444444444444,140.5011111111111
8341010,常陸那珂東海,36.44027777777777,140.58972222222224
8342010,那珂,36.44805555555556,140.5077777777778
8344010,大宮野中,36.561388888888885,140.4025
8402010,鉾田,36.159444444444446,140.51777777777778
8405010,鹿島宮中,35.965,140.62194444444447
8405110,高松公民館,35.943888888888885,140.64944444444444
8405200,鹿島中学校,35.97666666666667,140.63888888888889
8405270,総合福祉センター,35.9575,140.65277777777777
8406010,神栖下幡木,35.91583333333333,140.6266666666667
8406030,鹿島事務所,35.89833333333333,140.64027777777778
8406050,神栖消防,35.888888888888886,140.66666666666666
8406060,神栖一貫野,35.870555555555555,140.67027777777776
8406080,神栖横瀬,35.852222222222224,140.70277777777775
8406100,軽野東小学校,35.88972222222222,140.71305555555554
8406120,神栖市役所,35.88944444444444,140.66805555555555
8406130,深芝神社,35.9175,140.65222222222224
8406140,白十字病院,35.900277777777774,140.6252777777778
8406150,青販連センター,35.868611111111115,140.6952777777778
8407010,波崎太田,35.83833333333334,140.74055555555557
8407070,北若松１号公園,35.86944444444445,140.7188888888889
8407080,波崎小学校,35.749722222222225,140.82444444444445
8423040,潮来保健所,35.939722222222215,140.5675
8441010,江戸崎公民館,35.95388888888889,140.3188888888889
8541010,古河市役所,36.178888888888885,139.75555555555556
8561510,守谷,35.950833333333335,139.97694444444446
9201060,雀宮中学校,36.4875,139.86388888888888
9201110,清原,36.53416666666666,139.97944444444445
9201120,中央,36.56,139.88111111111112
9201570,大通り,36.561388888888885,139.88250000000002
9201580,平出,36.5675,139.94222222222223
9202520,足利市久保田公園,36.29388888888889,139.48916666666665
9203010,栃木市役所,36.3825,139.73416666666665
9203030,栃木市藤岡公民館,36.266666666666666,139.65083333333334
